id,CombAdj1,CombAdj2,CombAdj11,CombAdj12,CombAdj13,CombAdj14,CombAdj15,CombAdj16,CombAdj17,CombAdj18,CombAdj19,CombAdj3,CombAdj4,CombAdj5,CombAdj6,CombAdj7,CombAdj8,CombAdj9,CombAdj10
18,0.5,0.2857,0.0,0.25,0.5,0.6667,0.0,0.3333,0.0,0.5,0.1667,0.4286,0.6,0.75,0.5,0.6667,0.25,0.0,0.2
19,0.625,0.5714,0.4,0.75,0.1667,0.25,0.0,0.3333,1.0,0.0,0.5,1.0,0.25,0.0,0.3333,0.3333,0.25,0.0,0.4
20,0.5,0.2857,0.2,0.25,0.1667,0.5833,0.0,0.0,0.0,0.0,0.1667,0.1429,0.75,0.25,0.3333,0.0,0.0,0.25,0.0
21,0.375,0.2857,0.2,0.5,0.5,0.75,0.0,0.6667,0.5,0.0,0.0,0.8571,0.8,0.0,0.5,0.0,0.5,0.0,0.0
22,0.75,0.3571,0.4,0.25,0.6667,0.25,1.0,0.3333,0.0,0.0,0.0,0.7143,0.5,0.25,1.0,0.6667,0.25,0.0,0.2
23,0.625,0.7143,0.4,0.0,1.0,0.4167,0.5,0.0,0.0,0.0,0.1667,0.8571,0.65,0.5,0.5,0.6667,1.0,0.0,0.4
24,0.375,0.3571,0.0,0.5,0.1667,0.75,0.0,0.0,0.0,0.0,0.0,0.5714,0.5,0.25,0.3333,1.0,0.125,0.0,0.6
25,0.375,0.5714,1.0,0.25,0.6667,0.6667,0.0,0.6667,0.0,0.0,0.3333,0.5714,0.55,0.5,0.3333,0.0,0.5,0.0,0.0
26,0.5,0.2857,0.2,0.5,0.3333,0.5833,0.0,0.6667,0.0,0.5,0.1667,0.2857,0.65,0.25,0.3333,0.3333,0.25,0.25,0.4
27,0.5,0.7143,0.2,0.5,0.3333,0.3333,0.0,0.3333,0.0,0.5,0.1667,0.1429,0.6,0.25,0.3333,0.3333,0.125,0.0,0.2
28,0.75,0.4286,0.6,0.25,0.5,0.5833,0.5,0.3333,0.0,0.0,0.3333,0.8571,0.55,0.0,0.3333,0.3333,0.25,0.0,0.8
29,0.5,0.6429,0.2,0.0,0.1667,0.6667,0.5,0.3333,0.0,0.5,0.1667,0.1429,0.45,0.75,0.3333,0.6667,0.0,0.0,0.4
30,0.375,0.6429,0.2,0.25,0.3333,0.5833,0.5,0.6667,0.0,0.0,0.3333,0.5714,0.55,0.0,0.1667,0.0,0.125,0.0,0.0
31,0.5,0.5,0.0,0.5,0.1667,0.6667,1.0,0.3333,0.5,0.0,0.1667,0.4286,0.5,0.75,0.3333,0.6667,0.375,0.25,0.0
32,0.875,0.4286,0.2,0.25,0.3333,0.3333,0.5,0.6667,0.0,0.0,0.0,0.4286,0.7,0.0,0.1667,0.3333,0.25,0.0,0.4
